route_id,delay_minutes
100E,7.0
104,7.466666666666667
108,9.125
111,7.405405405405405
111A,8.75
111C,7.228571428571429
111E,7.666666666666667
112,7.830188679245283
112A,6.25
114,7.382352941176471
114A,6.25
114B,7.6875
114C,7.814814814814815
114D,7.882352941176471
114G,7.25
115A,4.0
120,7.85
121A,5.75
122,8.75
123,9.5
125E,6.8
126,7.0
126A,8.583333333333334
128,10.333333333333334
129,7.0
129C,6.75
12E,10.066666666666666
13,8.153846153846153
132,6.0
139,7.857142857142857
139A,9.0
13A,7.363636363636363
13C,8.0
13E,7.571428571428571
13F,8.6
13G,8.142857142857142
13H,7.7272727272727275
13J,8.75
13K,7.666666666666667
14,7.785714285714286
140,5.583333333333333
140A,8.363636363636363
140B,5.714285714285714
140D,9.0
140E,6.388888888888889
141,6.7407407407407405
141E,7.696969696969697
143,7.173076923076923
143A,7.75
144,7.575
144A,7.714285714285714
144E,8.125
144G,7.833333333333333
144K,6.363636363636363
145,6.896551724137931
146,5.888888888888889
146B,7.6875
146E,6.625
14B,11.0
152,7.333333333333333
154,6.4
155,5.888888888888889
155A,7.0
15A,7.897435897435898
15C,6.6
15E,6.5813953488372094
15F,7.842105263157895
15H,9.833333333333334
161B,7.75
161C,8.428571428571429
161D,5.090909090909091
163A,1.0
164,8.517241379310345
165E,9.714285714285714
166,10.428571428571429
168A,7.0588235294117645
168E,6.733333333333333
169,6.4
171,8.037037037037036
171E,6.75
171F,7.0
171G,7.4
171H,8.428571428571429
173A,6.0
174,7.0
175,7.0
176A,10.166666666666666
176C,9.45
176CA,8.857142857142858
176D,8.0
176E,10.0
176G,7.333333333333333
177,4.833333333333333
18,8.129032258064516
180,7.03030303030303
184,11.75
189,9.25
190,10.8
195,8.16
196,8.0
197,4.5
1E,10.25
2,7.181818181818182
201A,8.666666666666666
201H,7.571428571428571
201J,7.181818181818182
201K,2.25
201L,4.0
201M,7.526315789473684
201MA,10.166666666666666
201MD,7.884615384615385
201MJ,7.7
201N,4.75
201Q,8.666666666666666
201S,7.125
201U,6.909090909090909
203,11.0
21,7.5
210,9.318181818181818
210A,7.2
210B,9.428571428571429
210C,8.875
210CA,9.8
210CD,8.777777777777779
210E,7.290322580645161
210EA,6.0
210F,14.0
210FA,8.0
210G,6.2105263157894735
210GA,9.571428571428571
210H,8.2
210I,8.0
210N,7.555555555555555
210NA,8.0
210NB,6.6
210P,7.158730158730159
210Q,7.357142857142857
210R,6.535714285714286
210V,7.2727272727272725
210X,8.714285714285714
210ZA,7.25
211DA,8.666666666666666
211E,8.5
211G,7.5
211H,8.833333333333334
211J,6.333333333333333
211K,9.0
211L,10.142857142857142
211N,5.0
211P,8.25
211Q,7.75
211R,5.0
211RA,12.5
212,7.375
212D,4.75
212M,9.5
213B,4.8
213D,2.0
213DA,1.0
213DC,9.333333333333334
213F,5.5
213G,9.0
213H,11.0
213J,9.333333333333334
213K,10.333333333333334
213L,8.5
213M,9.5
213N,3.3333333333333335
213P,5.833333333333333
213V,8.25
213Z,8.0
214,5.428571428571429
214D,5.857142857142857
214E,8.666666666666666
214F,8.0
214G,9.5
214H,8.5
214L,6.333333333333333
215,7.481481481481482
215A,7.052631578947368
215AB,8.619047619047619
215B,7.2
215C,6.090909090909091
215CA,7.392857142857143
215CB,10.222222222222221
215CD,8.357142857142858
215D,8.333333333333334
215E,7.076923076923077
215F,4.142857142857143
215H,7.538461538461538
215J,6.0
215K,7.0588235294117645
215N,7.173913043478261
215NA,8.0
215NB,6.5
215P,4.5
215R,9.125
215T,8.333333333333334
215U,3.5
215W,6.9
215X,3.4285714285714284
215Y,9.5
215Z,11.25
215ZA,7.333333333333333
216B,7.2
217,6.777777777777778
217B,8.166666666666666
22,9.0
221B,4.0
221E,8.0
221J,6.0
223E,6.5
223F,8.166666666666666
223H,7.6
224A,7.833333333333333
224D,9.0
224E,5.8
225B,7.0
225C,9.181818181818182
225CF,5.6
225D,8.214285714285714
225DA,7.666666666666667
225F,5.909090909090909
225L,6.75
225M,7.75
225P,4.571428571428571
226,12.0
226D,7.666666666666667
226E,8.6
226G,5.333333333333333
226H,3.5
226K,4.333333333333333
226L,6.5
226M,8.848484848484848
226P,10.0
226Q,10.666666666666666
226R,8.333333333333334
226S,4.0
226T,7.0
226U,4.0
226VA,9.333333333333334
226VB,6.666666666666667
226VC,5.666666666666667
226Z,4.5
227A,6.75
227B,10.666666666666666
227C,8.5
227E,6.8
227J,6.5
227K,8.25
227L,10.75
227NA,4.0
227P,8.0
227R,7.8
227S,12.5
227T,10.6
227U,7.4
227V,6.0
227VA,5.666666666666667
227VC,7.5
227W,10.0
227X,8.666666666666666
227Z,5.666666666666667
227ZA,10.666666666666666
228B,9.0
228E,11.0
228F,8.6
228H,9.666666666666666
229,8.0
229A,7.75
229D,4.75
230,4.5
230A,6.333333333333333
231,7.333333333333333
231B,6.25
231C,5.5
231D,4.75
231E,3.5
231F,5.75
231G,10.5
231H,7.0
231J,7.0
231K,13.0
231L,10.0
231P,11.0
234,8.692307692307692
234A,6.851851851851852
234C,7.285714285714286
234D,6.166666666666667
235A,6.6875
235D,8.166666666666666
235F,4.5
235K,7.8
235P,9.2
235Q,6.0
237A,10.1
237D,8.2
237J,10.666666666666666
238A,6.966666666666667
238AB,8.285714285714286
238C,7.45
238G,8.0
238T,6.5
238V,7.827586206896552
238VA,8.4
238VR,9.857142857142858
238Z,10.0
239A,8.8
239C,9.0
239D,9.0
240A,3.5
240C,7.454545454545454
240K,13.0
240M,11.0
240P,9.75
240R,8.285714285714286
241,8.25
241B,8.083333333333334
241C,9.0
241CB,9.25
241CJ,8.166666666666666
241CN,7.0
241D,7.214285714285714
241G,7.0
241K,7.6
241L,3.6666666666666665
241M,5.5
241N,8.142857142857142
241S,6.7272727272727275
242,8.75
242AA,5.0
242C,7.5
242CD,7.5
242D,7.375
242E,4.75
242F,4.0
242J,5.25
242JA,13.5
242JK,7.666666666666667
242K,6.5
242T,6.4
242TB,5.333333333333333
242VB,9.0
242VC,3.5
242ZB,8.333333333333334
243D,6.774193548387097
243F,7.625
243H,9.166666666666666
243J,8.714285714285714
243K,6.666666666666667
244C,6.535714285714286
244G,4.4
244K,9.375
245GA,7.166666666666667
245J,11.2
245K,4.0
245M,8.7
245N,7.5
245Q,4.0
246,9.0
246A,8.25
248AB,7.9
248B,5.9
248C,8.333333333333334
248D,11.0
248J,4.5
248K,9.0
248M,10.333333333333334
248N,7.476190476190476
248P,7.6
248Q,6.333333333333333
248Z,3.0
24A,7.75
25,8.0
250,5.75
250A,5.636363636363637
250AB,6.666666666666667
250AC,7.428571428571429
250B,9.454545454545455
250BA,12.0
250C,9.0
250CB,9.4
250CC,6.333333333333333
250D,4.5
250E,8.25
250F,4.333333333333333
250G,6.0
250H,9.8
250J,7.5
250M,7.0
250N,6.0
250P,7.0
250R,4.0
250S,9.0
250SA,6.0
250TA,6.5
250V,5.0
250W,7.0
250X,5.0
250Y,6.333333333333333
250YA,6.916666666666667
250YB,5.2
250Z,6.6
251,4.0
251A,4.0
251C,8.321428571428571
251E,7.0
251G,8.0
251M,9.0
252,8.405063291139241
252D,8.714285714285714
252E,7.407407407407407
252F,7.548672566371682
252FA,5.416666666666667
252FB,5.333333333333333
252GA,7.375
